highlighted_texts,top_word,label,confidence
꿈만 같아요,가격,positive,"{'negative': 0.00995304, 'positive': 99.947815, 'neutral': 0.04223542}"
[전국 주요 신문 톱뉴스](29일 조간,신문,neutral,"{'negative': 0.019764842, 'positive': 0.018615045, 'neutral': 99.96162}"
정부 지원 요구 공동 대응,요구,neutral,"{'negative': 0.12634115, 'positive': 0.14289905, 'neutral': 99.73076}"
미국 지켜주는 미사일 일?…1 국 지켜주는 미,미국,negative,"{'negative': 74.96424, 'positive': 0.025858501, 'neutral': 25.009897}"
치열한 공방,가격,negative,"{'negative': 99.96666, 'positive': 0.004720351, 'neutral': 0.028620332}"
총선 결과와 무관한 脫탈원전 당위성,결과,neutral,"{'negative': 0.2208651, 'positive': 0.0229545, 'neutral': 99.75618}"
2035년까지 탄소 없는 도시 완성,완성,neutral,"{'negative': 1.2039825, 'positive': 6.2794003, 'neutral': 92.51662}"
울산 등 ‘6월 시행’ 분산에너지 특별법 대비 ‘한창,대비,positive,"{'negative': 0.023143128, 'positive': 99.91707, 'neutral': 0.059786174}"
신입 아나운서 월급 60만원' 신입,신입,neutral,"{'negative': 4.600722, 'positive': 0.25570792, 'neutral': 95.14357}"
총력,총력,neutral,"{'negative': 0.50215393, 'positive': 26.132124, 'neutral': 73.36572}"
룩셈부르크 견학 간 이유는,견학,neutral,"{'negative': 0.036569018, 'positive': 0.01989226, 'neutral': 99.94354}"
국비 확보 전략은?,국비,neutral,"{'negative': 0.04661774, 'positive': 0.072334744, 'neutral': 99.88105}"
풍력발전기 남은 전력 재활용해 야간 관광지 조성,관광지,neutral,"{'negative': 0.07992584, 'positive': 1.4674015, 'neutral': 98.452675}"
교통부분 3대 혁신과제 구체적 방안 필요,과제,neutral,"{'negative': 0.1255932, 'positive': 0.04402085, 'neutral': 99.83038}"
2035 탄소중립 비전 선포,선포,neutral,"{'negative': 0.084222265, 'positive': 0.2249924, 'neutral': 99.69079}"
맞손,가격,neutral,"{'negative': 0.14603041, 'positive': 1.9102725, 'neutral': 97.943695}"
